actor,22-rdf-syntax-ns#type,rdf_type
film,rdf-schema#label,rdf-schema#label_Literal
film,owl#sameAs,owl#sameAs_Literal
film,core#subject,film_subject
film,actor,actor
film,dubbing_performance,dubbing_performance
film_film_company_relationship,film_company,film_company
film,film_featured_song,film_featured_song
film,film_format,film_format
film,film_subject,film_subject
film,location,film_location
film,writer,writer
film_art_director,film_art_director_id,film_art_director_id_Literal
film_art_director,film_art_director_name,film_art_director_name_Literal
film_distribution_medium,film_distribution_medium_film_distribution_mediumid,film_distribution_medium_film_distribution_mediumid_Literal
film_distribution_medium,film_distribution_medium_name,film_distribution_medium_name_Literal
film,date,date_Literal
film_costume_designer,film_costume_designer_film_costume_designerid,film_costume_designer_film_costume_designerid_Literal
film_costume_designer,film_costume_designer_name,film_costume_designer_name_Literal
film,filmid,filmid_Literal
film,initial_release_date,initial_release_date_Literal
film,page,page_Literal
director,made,film
film_crew_gig,film_crew_gig_film,film
film_film_distributor_relationship,film_distribution_medium,film_distribution_medium
film_film_distributor_relationship,film_distributor,film_distributor
film_film_distributor_relationship,film_of_distributor,film
content_rating,content_rating_content_ratingid,content_rating_content_ratingid_Literal
content_rating,content_rating_country,content_rating_country_Literal
content_rating,content_rating_film_rating_system,content_rating_film_rating_system_Literal
content_rating,content_rating_minimum_unaccompanied_age,content_rating_minimum_unaccompanied_age_Literal
content_rating,content_rating_name,content_rating_name_Literal
film_awards_ceremony,film_awards_ceremony_film_awards_ceremonyid,film_awards_ceremony_film_awards_ceremonyid_Literal
film_awards_ceremony,film_awards_ceremony_id,film_awards_ceremony_id_Literal
film_awards_ceremony,film_awards_ceremony_name,film_awards_ceremony_name_Literal
film_character,film_character_film_characterid,film_character_film_characterid_Literal
film_character,film_character_name,film_character_name_Literal
film_collection,film_collection_film_collectionid,film_collection_film_collectionid_Literal
film_collection,film_collection_name,film_collection_name_Literal
film_festival,film_festival_film_festivalid,film_festival_film_festivalid_Literal
film_festival,film_festival_name,film_festival_name_Literal
film_production_designer,film_production_designer_film_production_designer_id,film_production_designer_film_production_designer_id_Literal
film_production_designer,film_production_designer_freebase_url,film_production_designer_freebase_url_Literal
film_production_designer,film_production_designer_name,film_production_designer_name_Literal
film_screening_venue,film_screening_venue_film_screening_venue_id,film_screening_venue_film_screening_venue_id_Literal
film_screening_venue,film_screening_venue_freebase_url,film_screening_venue_freebase_url_Literal
film_screening_venue,film_screening_venue_name,film_screening_venue_name_Literal
personal_film_appearance,personal_film_appearance_person,personal_film_appearance_person_Literal
personal_film_appearance,personal_film_appearance_personal_film_appearanceid,personal_film_appearance_personal_film_appearanceid_Literal
personal_film_appearance,personal_film_appearance_type_of_appearance,personal_film_appearance_type_of_appearance_Literal
special_film_performance_type,special_film_performance_type_name,special_film_performance_type_name_Literal
special_film_performance_type,special_film_performance_type_special_film_performance_typeid,special_film_performance_type_special_film_performance_typeid_Literal
linkage_run,linkage_date,linkage_date_Literal
linkage_run,linkage_method,linkage_method_Literal
writer,rdf-schema#SeeAlso,rdf-schema#SeeAlso_Literal
film,hasPhotoCollection,hasPhotoCollection_Literal
film,based_near,based_near_Literal
film,relatedBook,relatedBook_Literal
interlink,link_source,actor
director,director_directorid,director_directorid_Literal
director,director_name,director_name_Literal
film_critic,film_critic_film_criticid,film_critic_film_criticid_Literal
film_critic,film_critic_name,film_critic_name_Literal
film,cinematographer,cinematographer
film,costume_designer,film_costume_designer
film,director,director
film,film_casting_director,film_casting_director
film,film_cut,film_cut
film,personal_film_appearance,personal_film_appearance
film,prequel,film
country,country_areaInSqKm,country_areaInSqKm_Literal
country,country_capital,country_capital_Literal
country,country_continent,country_continent_Literal
country,country_currency,country_currency_Literal
country,country_fips_code,country_fips_code_Literal
country,country_id,country_id_Literal
country,country_iso_alpha2,country_iso_alpha2_Literal
country,country_iso_alpha3,country_iso_alpha3_Literal
country,country_iso_numeric,country_iso_numeric_Literal
country,country_languages,country_languages_Literal
