y_pred,ent idx,paper,title,venue,match_status
22,20689,https://dblp.org/rec/conf/amcc/0001LLFS21,Modeling-free inversion-based iterative feedforward control for piezoelectric actuators.,22,mismatch
33,20690,https://dblp.org/rec/conf/amcc/0001LLYX20,Smooth Actor-Critic Algorithm for End-to-End Autonomous Driving.,33,mismatch
21,20691,https://dblp.org/rec/conf/amcc/0001LZF21,Reach-avoid Analysis for Stochastic Discrete-time Systems.,21,mismatch
6,20695,https://dblp.org/rec/conf/amcc/0001RD21,Pursuer Coordination in Multi-Player Reach-Avoid Games through Control Barrier Functions.,6,mismatch
6,20698,https://dblp.org/rec/conf/amcc/0001S21,Semiglobal Stabilization of Nonlinear Systems by n-Dimensional Sampled-Data Output Feedback.,6,mismatch
35,20700,https://dblp.org/rec/conf/amcc/0001SSH20,Modular Robot Formation and Routing for Resilient Consensus.,35,mismatch
6,20702,https://dblp.org/rec/conf/amcc/0001W0P20,Controllability of a Class of Hybrid Systems.,6,mismatch
6,20705,https://dblp.org/rec/conf/amcc/0001ZL20,Worst-Case Sensitivity of DC Optimal Power Flow Problems.,6,mismatch
31,20710,https://dblp.org/rec/conf/amcc/0002BD20,Generating Longest Counterexample: On the Cross-roads of Mixed Integer Linear Programming and SMT.,31,mismatch
6,20719,https://dblp.org/rec/conf/amcc/0002OJ21,Combined Longitudinal and Lateral Control of Autonomous Vehicles based on Reinforcement Learning.,6,mismatch
28,20728,https://dblp.org/rec/conf/amcc/0002VS20,Real-time Optimal Resource Allocation in an Industrial Symbiotic Network using Transient Measurements.,28,mismatch
33,20735,https://dblp.org/rec/conf/amcc/0003D0Y20,Towards Scalable Koopman Operator Learning: Convergence Rates and A Distributed Learning Algorithm.,33,mismatch
6,20738,https://dblp.org/rec/conf/amcc/0004EA21,Proportional-Integral Projected Gradient Method for Model Predictive Control.,6,mismatch
20,20741,https://dblp.org/rec/conf/amcc/0004VFS20,Introduction to Tokamak Plasma Control.,20,mismatch
6,20743,https://dblp.org/rec/conf/amcc/0004YX20,Stability Analysis of Impulsive Switched Systems with Time Delays and State-dependent Impulses.,6,mismatch
6,20748,https://dblp.org/rec/conf/amcc/0005CB0T20,Resilient Distributed Hypothesis Testing with Time-Varying Network Topology.,6,mismatch
