Source_Node,Edge_type,Destination_Node,
http://www.yago3-10/airport/Ajaccio_Napoleon_Bonaparte_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Toulouse–Blagnac_Airport,.
http://www.yago3-10/airport/Lal_Bahadur_Shastri_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Visakhapatnam_Airport,.
http://www.yago3-10/airport/Cincinnati/Northern_Kentucky_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Bradley_International_Airport,.
http://www.yago3-10/airport/Khartoum_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Istanbul_Atatürk_Airport,.
http://www.yago3-10/airport/Kunming_Changshui_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Hohhot_Baita_International_Airport,.
http://www.yago3-10/airport/Agartala_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Netaji_Subhas_Chandra_Bose_International_Airport,.
http://www.yago3-10/airport/Frankfurt_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Fuerteventura_Airport,.
http://www.yago3-10/airport/Belo_Horizonte/Pampulha_–_Carlos_Drummond_de_Andrade_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/São_José_do_Rio_Preto_Airport,.
http://www.yago3-10/airport/Xiamen_Gaoqi_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Ordos_Ejin_Horo_Airport,.
http://www.yago3-10/airport/Istanbul_Atatürk_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Almaty_International_Airport,.
http://www.yago3-10/airport/El_Dorado_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Luxembourg_Findel_Airport,.
http://www.yago3-10/airport/Dubai_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Juba_International_Airport,.
http://www.yago3-10/airport/Esquel_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Piloto_Civil_Norberto_Fernández_International_Airport,.
http://www.yago3-10/airport/King_Fahd_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Frankfurt_Airport,.
http://www.yago3-10/airport/Yellowknife_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Cambridge_Bay_Airport,.
http://www.yago3-10/airport/Lanzhou_Zhongchuan_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Beijing_Nanyuan_Airport,.
http://www.yago3-10/airport/Toronto_Pearson_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Palm_Beach_International_Airport,.
http://www.yago3-10/airport/Jersey_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Glasgow_Airport,.
http://www.yago3-10/airport/Washington_Dulles_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Indianapolis_International_Airport,.
http://www.yago3-10/airport/Sheremetyevo_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Syktyvkar_Airport,.
http://www.yago3-10/airport/Miguel_Hidalgo_y_Costilla_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Sacramento_International_Airport,.
http://www.yago3-10/airport/Dallas_Love_Field,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Tulsa_International_Airport,.
http://www.yago3-10/airport/John_F._Kennedy_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Charleston_International_Airport,.
http://www.yago3-10/airport/Wilmington_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/LaGuardia_Airport,.
http://www.yago3-10/airport/Los_Angeles_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/General_Francisco_J._Mujica_International_Airport,.
http://www.yago3-10/airport/Don_Mueang_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Guangzhou_Baiyun_International_Airport,.
http://www.yago3-10/airport/Araxos_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Frankfurt_Airport,.
http://www.yago3-10/airport/Vienna_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Chios_Island_National_Airport,.
http://www.yago3-10/airport/Kazan_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Novy_Urengoy_Airport,.
http://www.yago3-10/airport/Atlantic_City_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Southwest_Florida_International_Airport,.
http://www.yago3-10/airport/Orly_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Madeira_Airport,.
http://www.yago3-10/airport/Auckland_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Gisborne_Airport,.
http://www.yago3-10/airport/Erbil_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Tehran_Imam_Khomeini_International_Airport,.
http://www.yago3-10/airport/Ljubljana_Jože_Pučnik_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Frankfurt_Airport,.
http://www.yago3-10/airport/Amsterdam_Airport_Schiphol,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Ben_Gurion_Airport,.
http://www.yago3-10/airport/Xi'an_Xianyang_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Sunan_Shuofang_International_Airport,.
http://www.yago3-10/airport/Huangshan_Tunxi_International_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Beijing_Capital_International_Airport,.
http://www.yago3-10/airport/Newcastle_Airport,http://www.yago3-10/isConnectedTo,http://www.yago3-10/airport/Birmingham_Airport,.
