"Person"	"Occupation"
"http://yago-knowledge.org/resource/Brigitte_(dog)"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Jerry_Jones"	"http://yago-knowledge.org/resource/Businessperson"
"http://yago-knowledge.org/resource/Prince_George_of_Cambridge"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Sho_Madjozi"	"http://yago-knowledge.org/resource/Poet"
"http://yago-knowledge.org/resource/Tinsley_Price"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Lilly_Platt"	"http://yago-knowledge.org/resource/Environmentalist"
"http://yago-knowledge.org/resource/Raegan_Revord"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Raegan_Revord"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Rafathar_Malik_Ahmad"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Deric_McCabe"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Iain_Armitage"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Jackson_Robert_Scott"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Archie_Yates"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Lina_Renna"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Princess_Josephine_of_Denmark"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Nimi_Adokiye"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Princess_Eléonore_of_Belgium"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/John_Philip_Bughaw"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Princess_Leonore,_Duchess_of_Gotland"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Dave_Hyatt"	"http://yago-knowledge.org/resource/Computer_scientist"
"http://yago-knowledge.org/resource/Akshara_Kishor"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Ezri_Namvar"	"http://yago-knowledge.org/resource/Businessperson"
"http://yago-knowledge.org/resource/Ezri_Namvar"	"http://yago-knowledge.org/resource/Financier"
"http://yago-knowledge.org/resource/Onyok_Pineda"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Sophie_Cruz"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Indica_Watson"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Yuan_Francisco"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Asher_Blinkoff"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Taj_Farrant"	"http://yago-knowledge.org/resource/Guitarist"
"http://yago-knowledge.org/resource/Kate_Moyer"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Xia_Vigor"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Abby_Ryder_Fortson"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Alonzo_Muhlach"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Harshaali_Malhotra"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Julia_Butters"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Baste_Granfon"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Prince_Henrik_of_Denmark_(born_2009)"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Kim_Kang-hoon"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Leanne_Bautista"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Prince_Vincent_of_Denmark"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Heo_Yool"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Heo_Yool"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Princess_Athena_of_Denmark"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Bana_al-Abed"	"http://yago-knowledge.org/resource/Human_rights_defender"
"http://yago-knowledge.org/resource/Giorgi_Bagrationi_(born_2011)"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Maja_Söderström"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Sumire_Nakamura"	"http://yago-knowledge.org/resource/Go_professional"
"http://yago-knowledge.org/resource/Tihon_Chernyaev"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Licypriya_Kangujam"	"http://yago-knowledge.org/resource/Environmentalist"
"http://yago-knowledge.org/resource/Noor_Hussain"	"http://yago-knowledge.org/resource/Lawyer"
"http://yago-knowledge.org/resource/Hiroki_Nanami"	"http://yago-knowledge.org/resource/Voice_acting_in_Japan"
"http://yago-knowledge.org/resource/Kokoro_Terada"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Kokoro_Terada"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Princess_Gabriella,_Countess_of_Carladès"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Raikko_Mateo"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Yuvina_Parthavi"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Aryan_Prajapati"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Choi_Seung-hun"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Jeremy_Maguire"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Yesha_Camile"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Dante_Pereira-Olson"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Lairenjam_Olen"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Gordey_Kolesov"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Lee_Go-eun"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Beren_Gökyıldız"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Chlaui_Malayao"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Amelia_Flanagan"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Antonio_Raul_Corbo"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Nicholas_Buamah"	"http://yago-knowledge.org/resource/Writer"
"http://yago-knowledge.org/resource/Lim_Kah_Wai"	"http://yago-knowledge.org/resource/Film_director"
"http://yago-knowledge.org/resource/Lim_Kah_Wai"	"http://yago-knowledge.org/resource/Screenwriter"
"http://yago-knowledge.org/resource/Elisakh_Hagia"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Jung_Hyeon-jun"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Abhimanyu_Mishra"	"http://yago-knowledge.org/resource/Chess_player"
