"Person"	"Occupation"
"http://yago-knowledge.org/resource/Nicholas_Cradock"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Prince_George_of_Cambridge"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Sho_Madjozi"	"http://yago-knowledge.org/resource/Poet"
"http://yago-knowledge.org/resource/Countess_Zaria_of_Orange-Nassau,_Jonkvrouwe_van_Amsberg"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Dipangkorn_Rasmijoti"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Anoushka_Sabnis"	"http://yago-knowledge.org/resource/Writer"
"http://yago-knowledge.org/resource/Anoushka_Sabnis"	"http://yago-knowledge.org/resource/Poet"
"http://yago-knowledge.org/resource/Lilly_Platt"	"http://yago-knowledge.org/resource/Environmentalist"
"http://yago-knowledge.org/resource/Rafathar_Malik_Ahmad"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Baby_Sathanya"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Choi_Ro-woon"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Dafne_Keen"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Fantine_Harduin"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Kal_So-won"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Lee_Chae-mi"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Millie_Davis"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Millie_Davis"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Nathanael_Saleh"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Baby_Meenakshi"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Lina_Renna"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Roman_Griffin_Davis"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Prince_Emmanuel_of_Belgium"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Princess_Ariane_of_the_Netherlands"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Rio_Suzuki"	"http://yago-knowledge.org/resource/Voice_acting_in_Japan"
"http://yago-knowledge.org/resource/Rio_Suzuki"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Rio_Suzuki"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Rio_Suzuki"	"http://yago-knowledge.org/resource/Tarento"
"http://yago-knowledge.org/resource/Prince_Christian_of_Denmark"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Julio_Alfredo_Chiappero"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Kristina_Pimenova"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Esang_de_Torres"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/William_Tete_Luo"	"http://yago-knowledge.org/resource/Pianist"
"http://yago-knowledge.org/resource/Princess_Josephine_of_Denmark"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Princess_Eléonore_of_Belgium"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Princess_Leonore,_Duchess_of_Gotland"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/James,_Viscount_Severn"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Meet_Mukhi"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Akshara_Kishor"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Ezri_Namvar"	"http://yago-knowledge.org/resource/Businessperson"
"http://yago-knowledge.org/resource/Ezri_Namvar"	"http://yago-knowledge.org/resource/Financier"
"http://yago-knowledge.org/resource/Ishita_Katyal"	"http://yago-knowledge.org/resource/Writer"
"http://yago-knowledge.org/resource/Kim_Yoo-bin_(actress)"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Lucy_Gray_(activist)"	"http://yago-knowledge.org/resource/Student"
"http://yago-knowledge.org/resource/Lucy_Gray_(activist)"	"http://yago-knowledge.org/resource/Environmentalist"
"http://yago-knowledge.org/resource/Infanta_Sofía_of_Spain"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Prince_Hisahito_of_Akishino"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/20th_Kushok_Bakula_Rinpoche"	"http://yago-knowledge.org/resource/Bhikkhu"
"http://yago-knowledge.org/resource/Alonzo_Muhlach"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Daisy_Waite"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Harshaali_Malhotra"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Hong_Hwa-ri"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Isabella_Sermon"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Jacob_Tremblay"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Jacob_Tremblay"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Kim_Su-an"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Lee_Re"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Pixie_Davies"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Sara_Arjun"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Princess_Alexia_of_the_Netherlands"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Princess_Isabella_of_Denmark"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Kim_Ji-young_(actress,_born_2005)"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Spandan_Chaturvedi"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Baste_Granfon"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Prince_Henrik_of_Denmark_(born_2009)"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Kim_Kang-hoon"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Leanne_Bautista"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Angelina_Jordan"	"http://yago-knowledge.org/resource/Writer"
"http://yago-knowledge.org/resource/Prince_Vincent_of_Denmark"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Heo_Yool"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Heo_Yool"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Princess_Athena_of_Denmark"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Ruhanika_Dhawan"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Bana_al-Abed"	"http://yago-knowledge.org/resource/Human_rights_defender"
"http://yago-knowledge.org/resource/Rameshbabu_Praggnanandhaa"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Aydin_Suleymanli"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Giorgi_Bagrationi_(born_2011)"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Gukesh_D"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Ayan_Allahverdiyeva"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Hwang_Min-woo"	"http://yago-knowledge.org/resource/Dancer"
"http://yago-knowledge.org/resource/Hwang_Min-woo"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Maja_Söderström"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Roksana_Węgiel"	"http://yago-knowledge.org/resource/Television_presenter"
"http://yago-knowledge.org/resource/Sumire_Nakamura"	"http://yago-knowledge.org/resource/Go_professional"
"http://yago-knowledge.org/resource/Tihon_Chernyaev"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Licypriya_Kangujam"	"http://yago-knowledge.org/resource/Environmentalist"
"http://yago-knowledge.org/resource/Hiroki_Nanami"	"http://yago-knowledge.org/resource/Voice_acting_in_Japan"
"http://yago-knowledge.org/resource/Konomi_Watanabe"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Konomi_Watanabe"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Mutya_Orquia"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Akshat_Singh"	"http://yago-knowledge.org/resource/Dancer"
"http://yago-knowledge.org/resource/CX_Navarro"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Exodus_Lale"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Kokoro_Terada"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Kokoro_Terada"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/María_José_Mariscal"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Princess_Gabriella,_Countess_of_Carladès"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Raikko_Mateo"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Yuvina_Parthavi"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Aryan_Prajapati"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Choi_Seung-hun"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Prince_Lerotholi_Seeiso"	"http://yago-knowledge.org/resource/Politician"
"http://yago-knowledge.org/resource/Yesha_Camile"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Alekhine_Nouri"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Amrita_Mukherjee"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Bimby_Aquino_Yap"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Heo_Jung-eun"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Lance_Lucido"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Rina_Endō"	"http://yago-knowledge.org/resource/Voice_acting_in_Japan"
"http://yago-knowledge.org/resource/Rina_Endō"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Shivansh_Kotia"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Sonali_Majumdar"	"http://yago-knowledge.org/resource/Dancer"
"http://yago-knowledge.org/resource/Amir_Faiz_Amirul"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Angel_Ho"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Countess_Leonore_of_Orange-Nassau"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Federico_Porras_Jr."	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Gabrielle_Gutierrez"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Gordey_Kolesov"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Hanzala_Shahid"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Lee_Go-eun"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Mariyam_Khalif"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Skyler_Wexler"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Beren_Gökyıldız"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Bleu_Landau"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Chlaui_Malayao"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Mudassar_Aziz"	"http://yago-knowledge.org/resource/Film_director"
"http://yago-knowledge.org/resource/Mudassar_Aziz"	"http://yago-knowledge.org/resource/Screenwriter"
"http://yago-knowledge.org/resource/Prince_Nicolas_of_Belgium"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Alfie_Clarke_(actor)"	"http://yago-knowledge.org/resource/Child_actor"
"http://yago-knowledge.org/resource/Amelia_Flanagan"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Deng_Enxi"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Ilya_Makoveev"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Isabella_Tena"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Janna_Jihad"	"http://yago-knowledge.org/resource/Human_rights_defender"
"http://yago-knowledge.org/resource/Prince_Gabriel_of_Nassau"	"http://yago-knowledge.org/resource/Aristocracy_(class)"
"http://yago-knowledge.org/resource/Trisha_Kanyamarala"	"http://yago-knowledge.org/resource/Chess_player"
"http://yago-knowledge.org/resource/Affan_Khan"	"http://yago-knowledge.org/resource/Actor"
"http://yago-knowledge.org/resource/Ryzza_Mae_Dizon"	"http://yago-knowledge.org/resource/Television_presenter"
