,Company,Market_Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,Unnamed: 16,norm_name,match,match_score,comp_name,WikidataID,Des,Logo,employees_count,Market_Value_class,Revenue_class,Profits_class,Assets_class,Rank_class
0,ICBC,311.014,165.338,43.6694,4210.927,1.0,Financials,Major_Banks,Asia,China,China,,Hui Yi,http://www.forbes.com/companies/icbc/,0.01037049562,0.2641219804,,icbc,,0,,,,nan,,high,high,high,high,low
1,China_Construction_Bank,261.166,143.202,37.2031,3631.583,2.0,Financials,Major_Banks,Asia,China,China,,Guo Tian,http://www.forbes.com/companies/china-construction-bank/,0.01024432045,0.2597945559,,china construction bank,china construction bank,1,china construction bank,http://www.wikidata.org/entity/Q26299,bank in the People's Republic of China,https://upload.wikimedia.org/wikipedia/commons/e/e6/China_Construction_Bank_logo.svg,369183.0,high,high,high,high,low
2,JPMorgan_Chase,387.668,118.18,26.496,2609.785,3.0,Financials,Major_Banks,North America,United_States,New York,New York,Jamie Dimon,http://www.forbes.com/companies/jpmorgan-chase/,0.01015256046,0.2242003723,,jpmorgan chase,jpmorgan chase,1,jpmorgan chase,http://www.wikidata.org/entity/Q192314,American multinational banking and financial services holding company,https://upload.wikimedia.org/wikipedia/commons/0/07/J_P_Morgan_Chase_Logo_2008_1.svg,256100.0,high,high,high,high,low
3,Berkshire_Hathaway,491.888,235.165,39.742,702.651,4.0,Financials,Investment_Services,North America,United_States,Nebraska,Nebraska,Warren Buffett,http://www.forbes.com/companies/berkshire-hathaway/,0.05656008459,0.1689962367,,berkshire hathaway,berkshire hathaway,1,berkshire hathaway,http://www.wikidata.org/entity/Q217583,American multinational conglomerate holding company,https://upload.wikimedia.org/wikipedia/commons/6/6e/Berkshire-Hathaway-Logo.svg,361270.0,high,high,high,high,low
4,Agricultural_Bank_of_China,184.125,129.345,29.6387,3439.314,5.0,Financials,Regional_Banks,Asia,China,China,,Mu Zhou,http://www.forbes.com/companies/agricultural-bank-of-china/,0.008617619676,0.2291445359,,agricultural bank of china,bank of china,0,bank of china,http://www.wikidata.org/entity/Q790068,state-owned bank in China,https://upload.wikimedia.org/wikipedia/commons/e/e3/Bank_of_China_Holdings_Logo.svg,310042.0,high,high,high,high,low
5,Bank_of_America,313.51,102.978,20.294,2328.478,6.0,Financials,Major_Banks,North America,United_States,North Carolina,North Carolina,Brian Moynihan,http://www.forbes.com/companies/bank-of-america/,0.008715564416,0.1970712191,,bank of america,bank of america,1,bank of america,http://www.wikidata.org/entity/Q487907,American multinational banking and financial services corporation,https://upload.wikimedia.org/wikipedia/commons/6/6e/Bank_america_logo18.png,204000.0,high,high,high,high,low
6,Wells_Fargo,265.328,102.063,21.693,1915.388,7.0,Financials,Major_Banks,North America,United_States,California,California,Timothy Sloan,http://www.forbes.com/companies/wells-fargo/,0.01132564264,0.2125451927,,wells fargo,wells fargo,1,wells fargo,http://www.wikidata.org/entity/Q744149,American multinational banking and financial services company,https://upload.wikimedia.org/wikipedia/commons/a/a1/Wells_Fargo_Logo_%282020%29.png,150500.0,high,high,high,high,low
7,Apple,926.946,247.535,53.318,367.502,8.0,Information Technology,Computer_Hardware,North America,United_States,California,California,Tim Cook,http://www.forbes.com/companies/apple/,0.1450822036,0.2153958026,,apple,ppl,0,ppl,http://www.wikidata.org/entity/Q2044512,American energy company,https://upload.wikimedia.org/wikipedia/commons/9/9c/Pennsylvania_Power_and_Light_logo.svg,0.0,high,high,high,high,low
8,Bank_of_China,158.628,118.15,26.3535,3204.207,9.0,Financials,Major_Banks,Asia,China,China,,Si Chen,http://www.forbes.com/companies/bank-of-china/,0.008224655898,0.2230512061,,bank of china,bank of china,1,bank of china,http://www.wikidata.org/entity/Q790068,state-owned bank in China,https://upload.wikimedia.org/wikipedia/commons/e/e3/Bank_of_China_Holdings_Logo.svg,310042.0,high,high,high,high,low
9,Ping_An_Insurance_Group,181.411,141.623,13.8884,1066.373,10.0,Financials,Diversified_Insurance,Asia,China,China,,Ming Ma,http://www.forbes.com/companies/ping-an-insurance/,0.01302396066,0.09806599211,,ping an insurance group,ping an insurance,0,ping an insurance,http://www.wikidata.org/entity/Q1256188,Chinese insurance company,https://upload.wikimedia.org/wikipedia/commons/8/85/Ping_An_Logo.svg,190000.0,high,high,high,high,low
